| Indicator | upperLimit | lowerLimit | macd_histogram | macd_line | macd_signal | median_100d | median_10d | median_20d | median_30d | median_40d | median_50d | per1d | per1m | per1w | per1y | per3m | per6m | rank | rsi | stepup100 | stepup40 | uptrend |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| macd_histogram | 100.0 | 29.01 | 14434 | 5813 | 2700 | 1129 | 1168 | 1619 | 1546 | 1401 | 1317 | 3586 | 2899 | 7438 | 2370 | 2108 | 2392 | 279 | 4475 | 1400 | 1554 | 2642 |
| macd_line | 100.0 | 39.73 | 5813 | 14440 | 9984 | 510 | 39 | 131 | 225 | 282 | 385 | 2572 | 6689 | 5774 | 3492 | 4198 | 3869 | 9 | 9145 | 4077 | 4193 | 5997 |
| macd_signal | 100.0 | 47.83 | 2700 | 9984 | 14434 | 398 | 1 | 28 | 75 | 144 | 240 | 1744 | 7027 | 3289 | 3444 | 4508 | 3966 | 3 | 7667 | 4713 | 4677 | 5271 |
| median_100d | 1083.0 | 878.5 | 1129 | 510 | 398 | 14276 | 5775 | 6646 | 7463 | 8430 | 9397 | 1738 | 1300 | 1755 | 8 | 441 | 26 | 4795 | 632 | 1752 | 1930 | 945 |
| median_10d | 1083.0 | 943.5 | 1168 | 39 | 1 | 5775 | 14276 | 10720 | 9279 | 8270 | 7702 | 1473 | 50 | 864 | 80 | 15 | 14 | 8297 | 29 | 20 | 101 | 16 |
| median_20d | 1083.0 | 931.0 | 1619 | 131 | 28 | 6646 | 10720 | 14276 | 11541 | 10045 | 9106 | 1495 | 121 | 1197 | 40 | 29 | 23 | 7383 | 95 | 107 | 385 | 203 |
| median_30d | 1083.0 | 922.5 | 1546 | 225 | 75 | 7463 | 9279 | 11541 | 14276 | 11948 | 10653 | 1527 | 382 | 1362 | 25 | 37 | 24 | 6636 | 203 | 228 | 872 | 449 |
| median_40d | 1083.0 | 912.0 | 1401 | 282 | 144 | 8430 | 8270 | 10045 | 11948 | 14276 | 12307 | 1566 | 617 | 1448 | 1 | 39 | 15 | 6233 | 287 | 339 | 1505 | 597 |
| median_50d | 1083.0 | 905.5 | 1317 | 385 | 240 | 9397 | 7702 | 9106 | 10653 | 12307 | 14276 | 1627 | 831 | 1548 | 0 | 53 | 24 | 5916 | 375 | 536 | 1713 | 714 |
| per1d | 146.26 | 2.39 | 3586 | 2572 | 1744 | 1738 | 1473 | 1495 | 1527 | 1566 | 1627 | 14448 | 3784 | 5266 | 3248 | 3518 | 3649 | 231 | 3239 | 1656 | 1674 | 1392 |
| per1m | 1376.82 | 14.25 | 2899 | 6689 | 7027 | 1300 | 50 | 121 | 382 | 617 | 831 | 3784 | 14434 | 5862 | 4642 | 6954 | 5629 | 22 | 7073 | 4284 | 4295 | 4020 |
| per1w | 2954.3 | 5.89 | 7438 | 5774 | 3289 | 1755 | 864 | 1197 | 1362 | 1448 | 1548 | 5266 | 5862 | 14445 | 3724 | 4428 | 4184 | 84 | 5679 | 2359 | 2316 | 2833 |
| per1y | 2383.19 | 75.57 | 2370 | 3492 | 3444 | 8 | 80 | 40 | 25 | 1 | 0 | 3248 | 4642 | 3724 | 14254 | 5833 | 7834 | 109 | 2800 | 1301 | 1404 | 2095 |
| per3m | 1587.5 | 34.3 | 2108 | 4198 | 4508 | 441 | 15 | 29 | 37 | 39 | 53 | 3518 | 6954 | 4428 | 5833 | 14397 | 7354 | 24 | 4719 | 3398 | 2106 | 2721 |
| per6m | 1556.44 | 54.59 | 2392 | 3869 | 3966 | 26 | 14 | 23 | 24 | 15 | 24 | 3649 | 5629 | 4184 | 7834 | 7354 | 14332 | 17 | 3238 | 1932 | 1712 | 2244 |
| rank | 1086.0 | 974.0 | 279 | 9 | 3 | 4795 | 8297 | 7383 | 6636 | 6233 | 5916 | 231 | 22 | 84 | 109 | 24 | 17 | 14276 | 6 | 182 | 332 | 154 |
| rsi | 96.24 | 68.69 | 4475 | 9145 | 7667 | 632 | 29 | 95 | 203 | 287 | 375 | 3239 | 7073 | 5679 | 2800 | 4719 | 3238 | 6 | 14440 | 4589 | 4350 | 5734 |
| stepup100 | 3.0 | 3.0 | 1400 | 4077 | 4713 | 1752 | 20 | 107 | 228 | 339 | 536 | 1656 | 4284 | 2359 | 1301 | 3398 | 1932 | 182 | 4589 | 14276 | 7250 | 4490 |
| stepup40 | 3.0 | 3.0 | 1554 | 4193 | 4677 | 1930 | 101 | 385 | 872 | 1505 | 1713 | 1674 | 4295 | 2316 | 1404 | 2106 | 1712 | 332 | 4350 | 7250 | 14276 | 4874 |
| uptrend | 5.0 | 4.0 | 2642 | 5997 | 5271 | 945 | 16 | 203 | 449 | 597 | 714 | 1392 | 4020 | 2833 | 2095 | 2721 | 2244 | 154 | 5734 | 4490 | 4874 | 14506 |
